budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance,Rank
28000000,96.27238,33139618.0,117.0,7.9,3833.0,Blade Runner,78,0,0.7016,0.8952884807346776
0,60.581223,0.0,123.0,7.3,598.0,What Happened to Monday,406990,0,0.4561,0.5858029232722263
3300000,64.29999,13092000.0,105.0,8.3,4376.0,Whiplash,244786,0,0.8428,0.5279311763919355
11000000,40.796776,184770205.0,111.0,7.4,181.0,Wind River,395834,0,0.4117,0.39136737493899676
5000000,38.995136,10025571.0,98.0,6.8,651.0,Before I Fall,397837,0,0.3685,0.3834330142541606
0,37.96487,0.0,122.0,7.1,393.0,Girls Trip,417870,0,0.4168,0.3606775812458624
5000000,36.894806,252434250.0,104.0,7.2,2978.0,Get Out,419430,0,0.4476,0.34187586862883373
20000000,34.34759,207945075.0,110.0,7.6,2674.0,Me Before You,296096,0,0.4316,0.31940889038514475
15000000,41.048866,274925095.0,125.0,8.3,3968.0,Spirited Away,129,0,0.7161,0.3180227578375623
20000000,39.39497,229400000.0,116.0,8.3,3643.0,Life Is Beautiful,637,0,0.6568,0.31564088274984603
806948,36.82631,32000000.0,109.0,8.3,2405.0,Psycho,539,0,0.6026,0.30248396764321384
22000000,41.725124,321365567.0,195.0,8.3,4436.0,Schindler's List,424,0,0.8266,0.2974721837941863
0,34.852055,19606617.0,130.0,8.1,157.0,A Silent Voice,378064,0,0.568,0.290610390467721
3000000,35.529552,108981275.0,133.0,8.3,3001.0,One Flew Over the Cuckoo's Nest,510,0,0.6317,0.2817516727360472
13000000,36.629307,47542841.0,200.0,8.3,3418.0,The Godfather: Part II,240,0,0.7036,0.2752329269959371
0,34.46125,355298270.0,106.0,8.5,1030.0,Your Name.,372058,0,0.6316,0.27067938734605657
9900000,25.869883,157100845.0,88.0,6.7,1830.0,Don't Breathe,300669,0,0.325,0.2579468077171701
30000000,32.18285,0.0,229.0,8.3,1104.0,Once Upon a Time in America,311,0,0.6059,0.25342542164305154
20000000,30.31625,187000000.0,134.0,7.9,3787.0,12 Years a Slave,76203,0,0.5897,0.2380783968305269
19000000,26.817755,83258226.0,118.0,7.6,3122.0,Pan's Labyrinth,1417,0,0.4693,0.2317828715760531
13200000,34.457024,100000000.0,190.0,9.1,661.0,Dilwale Dulhania Le Jayenge,19404,0,0.792,0.23060753197313077
100000,24.33978,15584255.0,92.0,6.8,95.0,A Ghost Story,428449,0,0.4001,0.22331124909123012
4000000,22.845448,205843612.0,78.0,7.1,1791.0,The Jungle Book,9325,0,0.3697,0.21537485458509678
1200000,23.508432,103911669.0,103.0,7.2,2255.0,Saw,176,0,0.4006,0.214550646001329
10000000,24.553724,4219536.0,105.0,7.6,84.0,The Book of Henry,382614,0,0.4524,0.21248213015269585
2777000,22.064932,33754967.0,102.0,7.4,1689.0,The Wizard of Oz,630,0,0.4067,0.19803368414072248
8820000,22.68517,2129768.0,118.0,7.7,984.0,Train to Busan,396535,0,0.436,0.19716470714248113
0,23.424793,52620184.0,120.0,7.7,249.0,The Big Sick,416477,0,0.4783,0.19429172684277596
28000000,21.183077,201634991.0,147.0,7.7,1381.0,Straight Outta Compton,277216,0,0.3884,0.19343998712279348
17000000,19.944954,213525736.0,120.0,7.2,949.0,"Crouching Tiger, Hidden Dragon",146,0,0.3376,0.1932558742830075
950000,19.931606,59600000.0,110.0,6.9,953.0,Dr. No,646,0,0.3595,0.187652059967028
30000000,19.51122,84025816.0,121.0,7.2,2465.0,Sicario,273481,0,0.3518,0.18520674915711416
22500000,18.908781,29252978.0,116.0,7.2,1990.0,Nocturnal Animals,340666,0,0.3467,0.18022147200472333
30000000,17.955896,90259536.0,90.0,7.1,1090.0,Identity,2832,0,0.309,0.17973122330278846
0,20.346478,0.0,117.0,7.0,95.0,Amazing Grace,15163,0,0.4141,0.17833615837617744
0,24.910782,0.0,74.0,8.3,211.0,Black Mirror: White Christmas,374430,0,0.6103,0.1767870771789513
0,23.950396,0.0,104.0,8.2,120.0,A Dog's Will,40096,0,0.5858,0.17292483314323626
25000000,17.523342,23964782.0,115.0,7.0,855.0,The Founder,310307,0,0.3183,0.17291714159350377
18000000,18.495693,98235548.0,107.0,7.3,2129.0,Predator,106,0,0.3613,0.1722869828306647
18500000,21.761179,183316455.0,137.0,7.7,3282.0,Aliens,679,0,0.4991,0.1718198845846479
0,19.520733,24467000.0,114.0,7.0,64.0,The Emerald Forest,11532,0,0.4107,0.17060701413219936
18000000,17.645878,41412709.0,117.0,7.1,795.0,T2 Trainspotting,180863,0,0.3373,0.16944854475917961
10500000,22.494621,68700000.0,149.0,7.9,3075.0,2001: A Space Odyssey,62,0,0.5417,0.16880782500061156
32745300,17.958511,12173470.0,117.0,7.1,64.0,Their Finest,340101,0,0.353,0.16877815139583585
0,18.957085,0.0,93.0,6.8,148.0,Undisputed II: Last Man Standing,15255,0,0.3986,0.16777155011616257
650000,19.24201,55000000.0,127.0,7.4,597.0,Dawn of the Dead,923,0,0.4193,0.16556557877157074
30000000,16.224867,34441873.0,122.0,6.8,1608.0,Steve Jobs,321697,0,0.295,0.16524345751083772
16000000,16.870392,5900000.0,116.0,6.8,642.0,Highlander,8009,0,0.3306,0.16306499161770271
5000000,17.656952,82719885.0,113.0,7.1,1816.0,28 Days Later,170,0,0.3636,0.163000392967305
1500000,17.24814,97009150.0,103.0,6.8,1775.0,Insidious,49018,0,0.3502,0.1620977472537371
6000000,18.206972,138530565.0,120.0,7.5,1236.0,Platoon,792,0,0.3948,0.16092787241535395
8500000,21.277073,38697217.0,117.0,7.6,3475.0,Nightcrawler,242582,0,0.5329,0.15835630139496243
0,18.473022,0.0,148.0,7.0,176.0,Brimstone,324560,0,0.4185,0.15777717886501924
30000000,16.53732,2351359.0,89.0,7.1,415.0,Ballerina,342473,0,0.3411,0.1569848373295493
20000000,16.392712,57330873.0,132.0,6.9,330.0,The Shack,345938,0,0.3357,0.15683026674331124
20000000,16.205105,121463226.0,113.0,7.0,2152.0,Superbad,8363,0,0.3284,0.15670317766473305
22000000,16.532578,68296293.0,139.0,7.0,268.0,Open Range,2055,0,0.3434,0.15636161526846673
4000000,16.861532,87404651.0,77.0,7.0,1380.0,Peter Pan,10693,0,0.3574,0.15628499840782106
30000000,15.91126,199200000.0,134.0,7.2,971.0,The Hunt for Red October,1669,0,0.3184,0.1561462997064545
0,17.713581,110197.0,94.0,6.9,346.0,Dogtooth,38810,0,0.3937,0.15607716259650603
